timestamp,key_value,key_event
1741873906.676,,KD
1741873906.756,BackSpace,KU
1741873907.041,,KD
1741873907.106,BackSpace,KU
1741873907.837,o,KD
1741873907.910,o,KU
1741873907.934,w,KD
1741873908.000,w,KU
1741873908.055, ,KD
1741873908.136, ,KU
1741873908.196,t,KD
1741873908.262,t,KU
1741873908.268,h,KD
1741873908.355,h,KU
1741873908.380,i,KD
1741873908.468,i,KU
1741873908.482,s,KD
1741873908.548,s,KU
1741873908.598, ,KD
1741873908.656, ,KU
1741873908.798,i,KD
1741873908.856,i,KU
1741873908.892,s,KD
1741873908.957,s,KU
1741873908.992, ,KD
1741873909.065, ,KU
1741873909.205,a,KD
1741873909.268,a,KU
1741873909.334,m,KD
1741873909.399,m,KU
1741873909.418,a,KD
1741873909.506,a,KU
1741873909.795,i,KD
1741873909.856,i,KU
1741873909.876,n,KD
1741873909.933,n,KU
1741873910.201,,KD
1741873910.262,BackSpace,KU
1741873910.378,,KD
1741873910.456,BackSpace,KU
1741873910.494,z,KD
1741873910.575,z,KU
1741873910.634,i,KD
1741873910.698,n,KD
1741873910.718,i,KU
1741873910.802,n,KU
1741873910.804,g,KD
1741873910.864,g,KU
1741873912.287,SUSPICIOUS ACTIVITY #2: Window lost focus,suspicious_activity
1741873945.641,Window focus restored,focus_restore
1741873946.839,Alt_L,KD
1741873946.888,SUSPICIOUS ACTIVITY #3: Window lost focus,suspicious_activity
1741873961.113,Window focus restored,focus_restore
1741873973.936,Question 2: What is your age?,question_change
1741874006.885,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741874008.236,Window focus restored,focus_restore
1741874011.978,Question 2: What is your age?,question_change
1741875626.190,Question 2: What is your age?,question_change
1741875628.309,Question 1: What is your name?,question_change
1741875653.080,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741875658.102,Window focus restored,focus_restore
1741875741.894,Shift_L,KD
1741875742.289,T,KD
1741875742.351,T,KU
1741875742.379,Shift_L,KU
1741875742.482,h,KD
1741875742.570,h,KU
1741875742.695,i,KD
1741875742.771,i,KU
1741875742.860,s,KD
1741875742.927,s,KU
1741875744.021, ,KD
1741875744.091, ,KU
1741875744.226,i,KD
1741875744.287,i,KU
1741875744.384,s,KD
1741875744.431,s,KU
1741875749.966, ,KD
1741875750.019, ,KU
1741875750.069,a,KD
1741875750.139,a,KU
1741875750.172, ,KD
1741875750.227, ,KU
1741875751.026,s,KD
1741875751.090,s,KU
1741875751.173,a,KD
1741875751.240,a,KU
1741875751.277,m,KD
1741875751.356,m,KU
1741875751.448,p,KD
1741875751.549,l,KD
1741875751.569,p,KU
1741875751.652,l,KU
1741875751.689,e,KD
1741875751.741,e,KU
1741875751.808, ,KD
1741875751.879, ,KU
1741875754.600,t,KD
1741875754.676,t,KU
1741875754.698,e,KD
1741875754.760,e,KU
1741875754.840,x,KD
1741875754.912,t,KD
1741875754.923,x,KU
1741875754.974,t,KU
1741875755.996, ,KD
1741875756.080, ,KU
1741875756.158,t,KD
1741875756.240,t,KU
1741875756.242,h,KD
1741875756.311,h,KU
1741875756.395,a,KD
1741875756.437,a,KU
1741875756.550,t,KD
1741875756.602,t,KU
1741875756.648, ,KD
1741875756.718, ,KU
1741875756.798,Shift_L,KD
1741875756.929,I,KD
1741875757.006,I,KU
1741875757.054,Shift_L,KU
1741875757.128, ,KD
1741875757.196, ,KU
1741875757.227,a,KD
1741875757.284,a,KU
1741875757.345,m,KD
1741875757.411,m,KU
1741875757.520, ,KD
1741875757.586, ,KU
1741875758.112,g,KD
1741875758.157,g,KU
1741875758.167,o,KD
1741875758.243,o,KU
1741875758.362,n,KD
1741875758.454,n,KU
1741875758.770,,KD
1741875758.841,BackSpace,KU
1741875759.014,i,KD
1741875759.082,n,KD
1741875759.107,i,KU
1741875759.189,n,KU
1741875759.241,g,KD
1741875759.297,g,KU
1741875762.392, ,KD
1741875762.459, ,KU
1741875762.517,t,KD
1741875762.584,t,KU
1741875762.604,o,KD
1741875762.669,o,KU
1741875762.798, ,KD
1741875762.864, ,KU
1741875763.100,t,KD
1741875763.161,t,KU
1741875763.268,y,KD
1741875763.310,y,KU
1741875763.333,p,KD
1741875763.408,p,KU
1741875763.442,e,KD
1741875763.503,e,KU
1741875763.578, ,KD
1741875763.648, ,KU
1741875763.698,t,KD
1741875763.744,t,KU
1741875763.780,o,KD
1741875763.851,o,KU
1741875763.958, ,KD
1741875764.026, ,KU
1741875764.094,t,KD
1741875764.166,t,KU
1741875764.226,e,KD
1741875764.303,e,KU
1741875764.438,s,KD
1741875764.478,s,KU
1741875764.585,t,KD
1741875764.640,t,KU
1741875764.890, ,KD
1741875764.972, ,KU
1741875765.188,p,KD
1741875765.282,p,KU
1741875765.436,u,KD
1741875765.505,u,KU
1741875765.712,c,KD
1741875765.771,c,KU
1741875766.168,,KD
1741875766.242,BackSpace,KU
1741875766.343,,KD
1741875766.404,BackSpace,KU
1741875766.510,,KD
1741875766.580,BackSpace,KU
1741875767.334,f,KD
1741875767.396,f,KU
1741875767.462,u,KD
1741875767.540,u,KU
1741875768.148,n,KD
1741875768.232,n,KU
1741875768.325,c,KD
1741875768.408,c,KU
1741875768.588,t,KD
1741875768.646,t,KU
1741875768.698,i,KD
1741875768.786,i,KU
1741875768.850,o,KD
1741875768.932,o,KU
1741875768.935,n,KD
1741875769.002,n,KU
1741875769.097,a,KD
1741875769.176,a,KU
1741875769.210,l,KD
1741875769.276,l,KU
1741875769.808,i,KD
1741875769.870,i,KU
1741875769.900,t,KD
1741875769.956,t,KU
1741875770.023,y,KD
1741875770.098,y,KU
1741875776.682,c,KD
1741875777.197,c,KD
1741875777.227,c,KD
1741875777.258,c,KD
1741875777.289,c,KD
1741875777.321,c,KD
1741875777.352,c,KD
1741875777.383,c,KD
1741875777.415,c,KD
1741875777.461,c,KD
1741875777.468,c,KU
1741875780.718,c,KD
1741875781.206,v,KD
1741875781.306,v,KU
1741875781.634,v,KD
1741875781.687,v,KU
1741875781.820,v,KD
1741875781.878,v,KU
1741875781.994,v,KD
1741875782.064,v,KU
1741875782.182,v,KD
1741875782.238,v,KU
1741875782.364,v,KD
1741875782.430,v,KU
1741875782.530,c,KU
1741875791.736,f,KD
1741875791.758,f,KU
1741875793.573,d,KD
1741875793.647,d,KU
1741875794.249,d,KD
1741875794.303,d,KU
1741875794.699,d,KD
1741875794.748,d,KU
1741875795.089,f,KD
1741875795.145,f,KU
1741875795.651,d,KD
1741875795.707,d,KU
1741875796.281, ,KD
1741875796.304, ,KU
1741875797.527, ,KD
1741875797.564, ,KU
1741875968.675,SUSPICIOUS ACTIVITY #2: Window lost focus,suspicious_activity
1741876173.106,Window focus restored,focus_restore
1741876174.559,SUSPICIOUS ACTIVITY #3: Window lost focus,suspicious_activity
1741876191.707,Window focus restored,focus_restore
1741876192.025,Win_L,KD
1741876192.088,Control_L,KD
1741876272.738,Left,KU
1741876272.769,Control_L,KU
1741876272.833,Win_L,KU
1741876273.136,Win_L,KD
1741876273.195,Control_L,KD
1741876273.301,SUSPICIOUS ACTIVITY #4: Window lost focus,suspicious_activity
1741923995.178,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741924009.919,Window focus restored,focus_restore
1741924011.195,SUSPICIOUS ACTIVITY #2: Window lost focus,suspicious_activity
1741924095.720,Window focus restored,focus_restore
1741924096.615,SUSPICIOUS ACTIVITY #3: Window lost focus,suspicious_activity
1741924101.456,Window focus restored,focus_restore
1741924109.033,h,KD
1741924109.043,h,KU
1741924109.126,e,KD
1741924109.241,e,KU
1741924109.330,l,KD
1741924109.402,l,KU
1741924109.468,l,KD
1741924109.560,l,KU
1741924109.666,o,KD
1741924109.730,o,KU
1741924111.331,Question 2: What is your age?,question_change
1741924112.492,Shift_L,KD
1741924112.688,W,KD
1741924112.764,Shift_L,KU
1741924112.772,w,KU
1741924112.932,u,KD
1741924113.006,u,KU
1741924113.411,t,KD
1741924113.477,t,KU
1741924113.556,Shift_R,KD
1741924113.660,?,KD
1741924113.714,?,KU
1741924113.744,Shift_L,KU
1741924500.324,Alt_L,KD
1741924500.468,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741924504.987,Window focus restored,focus_restore
1741924507.906,Question 2: What is your age?,question_change
1741924508.289,SUSPICIOUS ACTIVITY #2: Window lost focus,suspicious_activity
1741924986.629,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741925023.761,Window focus restored,focus_restore
1741925025.478,SUSPICIOUS ACTIVITY #2: Window lost focus,suspicious_activity
1741925028.689,Window focus restored,focus_restore
1741925031.328,Shift_L,KD
1741925031.511,H,KD
1741925031.603,H,KU
1741925031.655,Shift_L,KU
1741925033.253,e,KD
1741925033.375,e,KU
1741925033.911,l,KD
1741925033.979,l,KU
1741925034.072,l,KD
1741925034.153,l,KU
1741925034.269,o,KD
1741925034.327,o,KU
1741925042.886,Question 2: What is your age?,question_change
1741925782.521,h,KD
1741925782.568,h,KU
1741925786.182,e,KD
1741925786.296,e,KU
1741925786.543,l,KD
1741925786.834,l,KU
1741925787.314,o,KD
1741925787.390,o,KU
1741925789.152,,KD
1741925789.204,BackSpace,KU
1741925790.230,l,KD
1741925790.291,l,KU
1741925790.529,o,KD
1741925790.582,o,KU
1741925799.786,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741925858.260,Window focus restored,focus_restore
1741925859.400,SUSPICIOUS ACTIVITY #2: Window lost focus,suspicious_activity
1741925863.137,Window focus restored,focus_restore
1741925865.404,SUSPICIOUS ACTIVITY #3: Window lost focus,suspicious_activity
1741926219.793,Window focus restored,focus_restore
1741926228.255,c,KD
1741926228.315,c,KU
1741926228.329,v,KD
1741926228.382,v,KU
1741926230.494,h,KD
1741926230.616,h,KU
1741926231.152,h,KD
1741926231.275,h,KU
1741926232.899,h,KD
1741926232.978,h,KU
1741926233.209,c,KD
1741926233.294,c,KU
1741926233.637,f,KD
1741926233.722,f,KU
1741926291.792,h,KD
1741926291.875,h,KU
1741926304.122,Alt_L,KD
1741926304.141,SUSPICIOUS ACTIVITY #1: Window lost focus,suspicious_activity
1741926347.023,Window focus restored,focus_restore
1741926347.809,Alt_L,KD
